Data;Preco_Fechamento;Volume;SMA_7;SMA_21;RSI;Volatilidade
2025-04-05;83852,01;35647289400;83189,95;84488,57619047617;46,91890174860927;1039,6009561842538
2025-04-06;83595,89;14910400035;83320,91;84450,68095238096;46,33362973947921;1022,1267299602478
2025-04-07;78211,48;36140377231;82728,78142857141;84241,19809523808;36,1299542075562;2198,1090889247153
2025-04-08;79179,29;82909748172;82252,38142857142;84008,05142857142;38,74130215784836;2580,5102748901013
2025-04-09;76329,09;47812787635;80979,73857142858;83700,86380952381;34,29437222032734;3021,886053247746
2025-04-10;82622,17;87408220482;80993,41714285714;83501,18428571429;48,382560087057776;3030,2590578402314
2025-04-11;79596,36;41213520154;80483,75571428571;83278,59000000001;43,547730447816626;2901,635127405601
2025-04-12;83439,29;39813566443;80424,7957142857;83251,4357142857;50,33573117913875;2824,966975770532
2025-04-13;85305,1;22428929482;80668,96857142856;83323,42571428571;53,27347285301326;3194,4435808728667
2025-04-14;83600,82;28731125717;81438,87428571428;83219,2880952381;50,344089154818974;3152,618959071054
2025-04-15;84523,45;33155578229;82202,3257142857;83085,75095238096;51,88651183646132;3161,3002971606006
2025-04-16;83656,49;25084671427;83249,09714285714;82901,74666666669;50,30525655028059;1821,7436913361626
2025-04-17;84105,78;26948109141;83461,04142857142;82765,79047619048;51,13634235222889;1822,9520781359806
2025-04-18;84930,91;19323821375;84223,12;82656,44;52,700819886773566;718,6017098964797
2025-04-19;84433,75;9550691272;84365,18571428572;82659,97714285714;51,62824117249657;630,7439209072144
2025-04-20;85126,66;12635983530;84339,69428571429;82776,52428571427;53,062082047477666;588,6259275307206
2025-04-21;85073,17;12625843856;84550,03;82905,89523809524;52,93164381311033;541,7943213368658
2025-04-22;87452,05;40070025414;84968,40142857142;83141,03619047618;57,88951754990165;1221,8167850980121
2025-04-23;93576,17;53841992235;86385,49857142856;83538,11142857141;67,40741596466165;3348,443308337098
2025-04-24;93605,45;39901515879;87742,59428571427;84065,68428571428;67,44530177544081;4109,157577021757
2025-04-25;93872,81;30031246761;89020,00857142855;84575,62809523808;67,81321502992128;4463,976578053984
2025-04-26;94773,11;39336184715;90497,06;85095,68047619046;69,08040312494484;4403,694722264531
2025-04-27;94644,07;15445392739;91856,69;85621,78428571427;68,66314102474121;3910,914276380998
2025-04-28;93809,34;15926259371;93104,71428571429;86364,53952380951;65,89056380096471;2538,5444967269755
2025-04-29;95030,61;31913814736;94187,36571428571;87119,36428571427;67,93087955800367;607,8337130029771
2025-04-30;94256,36;25882629766;94284,53571428571;87973,0438095238;65,26549022383526;544,9582375402709
2025-05-01;94235,75;26541700309;94374,57857142857;88526,07142857142;65,19216215225396;459,4100401043989
2025-05-02;96426,95;30207566405;94739,45571428571;89327,5280952381;69,15948053629646;846,0550598294853
2025-05-03;96855,57;23276376191;95036,95;89966,39857142858;69,88260411284854;1165,6287355334143
2025-05-04;95922,87;13797554863;95219,63571428572;90472,00666666667;66,242754438938;1193,6654441382782
2025-05-05;94326,62;14903122945;95293,53285714285;90982,75904761904;60,44063087896122;1104,486359154525
2025-05-06;94758,82;24086456278;95254,70571428571;91470,1576190476;61,42580721804713;1119,938784560643
2025-05-07;96854,53;23348052607;95625,87285714285;92098,63571428572;65,86492423651005;1163,6125881173484
2025-05-08;97026,49;64376174032;96024,54999999999;92713,9076190476;66,20855140288054;1083,2549795722593
2025-05-09;103076,28;50020047720;96974,45428571428;93577,97285714284;75,53831338592765;2895,0932993998963
2025-05-10;102962,54;40800894903;97846,87857142856;94460,29619047618;75,11839233487393;3669,799253853365
2025-05-11;104630,88;21558992540;99090,88;95389,06857142855;77,12693367287186;4326,134704741482
2025-05-12;103994,06;27389436049;100471,94285714286;96290,06333333331;74,64980906794202;4088,282185273672
2025-05-13;102876,83;43090605819;101631,65857142856;97024,57666666665;70,37913627603284;3266,32905522139
2025-05-14;104184,49;33861432519;102678,7957142857;97529,73476190474;72,37147095383312;2583,084413544775
2025-05-15;103594,43;28398245846;103617,07285714285;98005,40047619045;70,08086671860661;678,3839626593419
2025-05-16;103708,85;31823340473;103707,43999999999;98473,78333333331;70,27732080438058;635,0894150718219
2025-05-17;103556,03;25887953182;103792,22428571428;98892,01761904759;69,61980260222465;553,4380036326188
2025-05-18;103212,36;18950056010;103589,57857142856;99300,0314285714;68,07724751430939;444,0728032097032
2025-05-19;106030,64;30744060179;103880,51857142856;99881,99809523806;73,30147784869365;1031,653770579349
2025-05-20;105629,42;43339734153;104273,7457142857;100386,70333333331;71,50734032556608;1107,1532091652732
2025-05-21;106786,72;36393687094;104645,49285714286;100983,38714285711;73,5205974451007;1454,5578355615908
2025-05-22;109665,86;60722883113;105512,84000000001;101718,15428571426;77,73544429994605;2292,2967608136346
2025-05-23;111560,36;52218408239;106634,48428571428;102438,79285714283;79,99222295812362;3056,121276563733
2025-05-24;107216,67;49251745837;107157,43285714286;102932,17857142855;63,979515280696916;2738,217075049792
2025-05-25;107831,36;27128230116;107817,29;103499,2495238095;65,04586003949017;2114,619520679132
2025-05-26;108861,81;29652659665;108221,74285714286;104191,40142857141;66,8191937873813;1982,5708611029456
2025-05-27;109377,72;27950577137;108757,21428571429;104887,53952380951;67,70266074151947;1642,7903659726933
2025-05-28;109068,46;38978783508;109083,17714285714;105469,15523809523;66,55861823282204;1394,203762855825
2025-05-29;107838,18;29794278037;108822,07999999999;105983,9976190476;62,06546399543531;1437,3657236895124
2025-05-30;105745,42;38279231892;107991,3742857143;106111,0995238095;55,234841459709855;1260,5076261038043
2025-05-31;104010,92;39680060337;107533,40999999999;106161,02238095236;50,294361511227386;1970,9983694489683
2025-06-01;104687,51;20432694555;107084,28857142855;106163,71904761903;52,09438592120647;2232,6146718779437
2025-06-02;105710,01;17721500507;106634,03142857143;106245,43095238094;54,76069845565447;2129,8414783932944
2025-06-03;105884,74;26313843058;106135,03428571427;106388,66476190476;55,21937197367569;1756,3205841755305
2025-06-04;105434,48;25925661121;105615,89428571427;106448,18809523806;53,7082167333377;1190,743288538098
2025-06-05;104812,92;25812143562;105183,71428571428;106506,21142857139;51,60858120579628;695,9375589795451
2025-06-06;101650,74;39711941132;104598,76;106408,20619047616;42,504669509951945;1453,5684765097908
2025-06-07;104409,75;29897390978;104655,73571428569;106448,8595238095;50,67960014047342;1434,3763561091332
2025-06-08;105681,45;17749731308;104797,72714285713;106566,4352380952;53,93104184786657;1486,3020339061388
